TOTLGIVE,DWEL_VAL,AVE_INC,WESBROOK,PARENT,CHILD,SPOUSE,SEX,FACSTAFF,ATHLTCS,OTHERACT,PROV,MARITAL_D,MARITAL_G,MARITAL_M,MARITAL_S,MARITAL_U,MARITAL_W
0.07972619611863975,0.6916805398299718,0.35899123889775786,Y,Y,Y,Y,M,N,Y,N,BC,0,0,1,0,0,0
0.07576680885638838,1,0.3714224584848834,Y,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.009669545927924966,0.6918466579669539,0.4011290136765359,Y,Y,N,Y,M,N,Y,Y,BC,0,0,1,0,0,0
0.02450112687772651,0.1395194448175939,0.08033936241997333,Y,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.025239481668488373,0.40029793317852963,0.07688045511649468,Y,Y,N,N,M,N,N,N,BC,0,0,0,0,0,1
0.007980035402338876,0.6885710721756318,0.37300241931502115,Y,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.01611805938436042,0.6541606296417125,0.1455429195262312,Y,Y,Y,Y,M,N,N,N,BC,0,0,1,0,0,0
0.04388213407104327,0.6444700051814466,0.4539424960089531,Y,Y,Y,Y,M,N,N,N,BC,0,0,1,0,0,0
0.022108728385388958,0.6703724404613407,0.2808106076814623,Y,Y,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.05301967763881231,0.20996372987391812,0.1455429195262312,Y,Y,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.008702268909459647,0.5439175574276996,0.4045604911044914,Y,Y,N,Y,M,N,N,N,BC,0,0,1,0,0,0
6.255058052742392e-4,0.1055084054577904,0.17489562932363412,N,N,N,N,M,N,N,N,NT,0,0,0,0,1,0
0.005203950359343412,0.21414966704408067,0.1606320940515572,Y,N,N,N,M,N,N,N,BC,0,0,1,0,0,0
0.0044301287445711575,0.36854058320059874,0.12097398002007867,N,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.010095147816049706,0.6181669673185054,0.348589830099351,Y,N,N,N,M,N,Y,N,BC,0,0,0,0,1,0
0.0035434581443112827,0.30713924178165003,0.23408107174009643,N,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
6.351785754588924e-4,0.14170836611717746,0.08044085295940927,N,N,N,N,F,N,N,N,BC,0,0,0,0,1,0
0.004510735162776601,0.1376333742731582,0.10427467180153936,Y,N,N,N,M,N,N,N,BC,0,0,0,0,1,0
0.009572818226078434,0.3954151394192942,0.2866284842799383,Y,N,N,N,F,N,N,N,BC,0,0,0,0,1,0
0.04374349103172991,0.25572178030666487,0.12521463877596922,Y,Y,N,N,M,Y,N,Y,BC,0,0,0,0,1,0
0.022321529329451327,0.47412275230766276,0.2889517947367555,Y,N,N,N,M,N,N,N,BC,0,0,0,0,1,0
2.708375651702891e-4,0.12420479187856225,0.20272049505439343,N,N,N,N,M,N,N,N,ON,0,0,0,0,1,0
0.004272140164888489,0.22964902895852923,0.17018317670874408,Y,N,N,Y,M,N,Y,Y,BC,0,0,1,0,0,0
0.011233310441110563,0.2168807211806022,0.1494215039252152,Y,N,N,Y,M,N,N,Y,BC,0,0,1,0,0,0
0.02748356435132791,0.27737950737876377,0.1270661553737869,Y,N,N,Y,M,N,N,Y,BC,0,0,1,0,0,0
0.016920899309686634,0.2851055000095953,0.2161090172972795,Y,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
2.450435113445473e-4,0.21001890268475695,0.1385675021806751,N,N,N,Y,M,N,Y,N,BC,0,0,1,0,0,0
0.010959248619212056,0.41735172906791534,0.2539759604570914,Y,N,N,N,F,Y,N,N,BC,0,0,0,0,1,0
0.0131678644780412,0.2346295745456639,0.12460843852690597,Y,N,N,N,M,Y,N,N,BC,0,0,0,0,1,0
0.0576561588139894,0.1940607668540943,0.15176127230734626,Y,Y,N,Y,M,N,N,Y,BC,0,0,1,0,0,0
1.5798857968266864e-4,0.14351227714982057,0.1248690223443766,N,N,N,N,M,N,N,N,BC,0,0,0,0,1,0
0.020793231640276126,0.49899129708879464,0.24458945705304388,Y,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.061644564386794734,0.20241045212919073,0.12740902881782723,Y,N,N,N,M,N,N,Y,BC,0,0,0,0,1,0
0.02107051771890285,0.6444700051814466,0.4539424960089531,Y,Y,N,Y,M,N,Y,N,BC,0,0,1,0,0,0
7.738216147722546e-5,0.2327129190734806,0.05665640789322098,N,N,N,N,F,N,N,N,BC,0,0,1,0,0,0
0.01611805938436042,0.4263988706365503,0.2762133605437698,Y,N,N,N,M,Y,Y,N,BC,0,0,0,0,1,0
0.07386449738673992,0.2597733836765242,0.23864814601471337,Y,Y,N,Y,M,N,N,N,BC,0,0,1,0,0,0
2.3859499788811184e-4,0.07892350649599877,0.0803229044946594,N,N,N,N,M,N,N,N,ON,0,0,0,0,1,0
0.01938100719331676,0.47412275230766276,0.2889517947367555,Y,N,N,Y,M,Y,N,N,BC,0,0,0,0,1,0
4.804142525044414e-4,0.18887452263524535,0.16755265164606684,N,N,N,Y,M,N,N,N,BC,0,0,0,0,1,0
0.02143808298591967,0.6885710721756318,0.37300241931502115,Y,N,N,N,M,Y,N,Y,BC,0,0,0,0,1,0
0.02681614320858684,0.49311059509873534,0.21001409895601894,Y,Y,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.030146800408835755,0.36199480895814545,0.21267479688177174,Y,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
1.4186729604158e-4,0.12866299487612504,0.14448961230613935,N,N,N,N,F,N,N,N,BC,0,0,0,0,1,0
0.007606021621865619,0.5001061476904182,0.2890999160645809,Y,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.014763871558508975,0.5629977547064806,0.598308673875238,Y,N,N,N,M,N,N,Y,ON,0,0,1,0,0,0
0.008299236818432431,0.5779615805331133,0.7903479754008876,Y,Y,N,Y,M,N,N,Y,ON,0,0,1,0,0,0
0.023137266281690414,0.27737950737876377,0.1270661553737869,Y,N,N,N,M,N,N,Y,BC,0,0,0,0,1,0
0.01830088118936382,0.6444700051814466,0.4539424960089531,Y,N,N,N,M,N,N,N,BC,0,0,0,0,1,0
0.0032210324714895097,0.08349145541077357,0.12737336997964704,Y,N,N,N,M,N,N,Y,AB,0,0,0,0,1,0
0.013461271840309012,0.10358395382755378,0.07813400042790605,Y,N,N,N,M,N,N,N,BC,0,0,0,0,1,0
0.046280981076837265,0.5126507657026618,0.2165588672558604,Y,N,Y,Y,M,N,N,N,BC,0,0,1,0,0,0
0.0028824855150266487,0.06573660500105548,0.04780204407432399,N,N,N,N,M,N,N,Y,AB,0,0,0,0,1,0
0.010959248619212056,0.5013223483467347,0.32100634727319605,Y,N,N,N,F,N,N,N,BC,0,0,0,0,1,0
0.011459008412085804,0.13094906829914219,0.14660445570897998,Y,Y,N,Y,M,N,N,Y,BC,0,0,1,0,0,0
0.017262670522877714,0.2687917394308085,0.07919005063555022,Y,N,Y,N,M,N,N,N,BC,0,0,1,0,0,0
9.640527617371006e-4,0.08826630236619394,0.07640317528239057,N,N,N,N,F,N,N,N,AB,0,0,0,0,1,0
0.0752057881856785,0.27394559960851295,0.133539605997268,Y,N,N,N,M,Y,N,Y,BC,0,0,0,0,1,0
0.0032210324714895097,0.5439175574276996,0.4045604911044914,Y,N,N,Y,F,N,N,N,BC,0,0,1,0,0,0
4.1592911794008684e-4,0.6181669673185054,0.348589830099351,N,N,N,N,F,N,N,N,BC,0,0,0,0,1,0
8.189612089673028e-4,0.1312255320578019,0.06314083046691134,N,N,N,Y,F,N,N,N,BC,0,0,0,0,1,0
0.001786238227432621,0.2562938983668848,0.09525024275439838,N,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.007161074193371573,0.25062908998445566,0.1298804606024698,Y,N,N,Y,F,N,N,N,BC,0,0,1,0,0,0
3.8368655065790957e-4,0.5910453328599666,0.1948728076671988,N,N,N,N,M,N,N,N,BC,0,0,0,0,1,0
0.010878642201006613,0.32932710760137407,0.15998200600165677,Y,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
3.1920141609355503e-4,0.20881469611775316,0.1601054404415113,N,N,N,Y,M,N,N,Y,BC,0,0,1,0,0,0
0.01611805938436042,0.3119848538640158,0.36100184877361025,Y,N,N,N,M,N,N,N,ON,0,0,0,0,1,0
0.027402957933122467,0.34353410639236986,0.20325263463954402,Y,N,N,Y,M,N,Y,N,ON,0,0,1,0,0,0
5.029840496019655e-4,0.21978568961215914,0.16115874766160312,N,N,N,Y,M,N,N,N,BC,0,0,0,0,1,0
0.036753302444953874,0.16854154272774377,0.18399686202224014,Y,N,N,Y,M,N,N,N,BC,0,0,1,0,0,0
0.0016895105255860892,0.09380697192423573,0.07362727187944021,N,N,N,N,F,N,N,N,BC,0,0,0,0,1,0
0.005010494955650349,0.11009494521100002,0.15245524815808387,N,N,N,N,M,N,N,N,BC,0,0,0,0,1,0
0.008686147625818558,0.47412275230766276,0.2889517947367555,N,N,N,N,F,N,N,N,BC,0,0,0,0,0,1
0.002108663900254394,0.09960431499357117,0.139944481931941,N,N,N,Y,M,N,N,N,AB,0,0,0,0,1,0
